Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Wed Oct 11 12:45:23 EDT 2023,SocialDistance.pl,1697042723279,193602,0,(I)4(F)10(I)5(F)2(I)2,47.82608695652174,0.0,0.0,52.17391304347826,0.0,0.0,0.11917098445595854,0.0,0.0,0.06217616580310881,0.0,0.0,0.05699481865284974,0.0,[]
,/modelData/A0UserStudy2010.arff,Wed Oct 11 12:45:23 EDT 2023,SocialDistance.pl, 1697042723279
2,,Wed Oct 11 12:48:37 EDT 2023,SocialDistance.pl,1697042917083,2369,2369,(I)22(R)2(I)1,92.0,0.0,0.0,0.0,8.0,0.0,12.5,0.0,0.0,0.0,0.0,1.0,11.5,0.0,[]
3,,Wed Oct 11 12:48:39 EDT 2023,SocialDistance.pl,1697042919452,11101,0,(I)1(F)2(I)20(F)2,84.0,0.0,0.0,16.0,0.0,0.0,2.272727272727273,0.0,0.0,0.36363636363636365,0.0,0.0,1.9090909090909092,0.0,[]
4,,Wed Oct 11 12:48:50 EDT 2023,SocialDistance.pl,1697042930863,1783,1783,(I)16(R)6(I)3,76.0,0.0,0.0,0.0,24.0,0.0,25.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,[]
5,,Wed Oct 11 12:48:52 EDT 2023,SocialDistance.pl,1697042932646,-19294,-19294,(I)7(F)2(I)10(F)2(I)4,84.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
6,,Wed Oct 11 12:48:36 EDT 2023,SocialDistance.pl,1697042916881,20802,0,(I)1(R)1(I)2(R)1(I)1(R)1(I)1(R)1(I)11(R)4(I)1,68.0,0.0,0.0,0.0,32.0,0.0,1.25,0.0,0.0,0.0,0.0,0.4,0.85,0.0,[]
9,,Wed Oct 11 12:49:08 EDT 2023,SocialDistance.pl,1697042948488,91824,0,(F)2(I)21,91.30434782608695,0.0,0.0,8.695652173913043,0.0,0.0,0.25274725274725274,0.0,0.0,0.02197802197802198,0.0,0.0,0.23076923076923078,0.0,[]
10,,Wed Oct 11 12:50:40 EDT 2023,SocialDistance.pl,1697043040388,2846,2846,(I)18(F)2(R)5,72.0,0.0,0.0,8.0,20.0,0.0,12.5,0.0,0.0,1.0,0.0,2.5,9.0,0.0,[]
11,,Wed Oct 11 12:50:43 EDT 2023,SocialDistance.pl,1697043043235,3160,3160,(R)19(I)2(R)2(I)2,16.0,0.0,0.0,0.0,84.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,7.0,1.3333333333333333,0.0,[]
12,,Wed Oct 11 12:50:46 EDT 2023,SocialDistance.pl,1697043046700,9703,9703,(I)10(F)1(I)1(R)1(I)1(R)1(I)1(R)1(I)1(F)1(I)4,78.26086956521739,0.0,0.0,8.695652173913043,13.043478260869565,0.0,2.5555555555555554,0.0,0.0,0.2222222222222222,0.0,0.3333333333333333,2.0,0.0,[]
13,,Wed Oct 11 12:50:56 EDT 2023,SocialDistance.pl,1697043056904,3339,3339,(I)23(R)2,92.0,0.0,0.0,0.0,8.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.6666666666666666,7.666666666666667,0.0,[]
14,,Wed Oct 11 12:51:00 EDT 2023,SocialDistance.pl,1697043060244,2703,2703,(R)3(I)5(R)7(I)10,60.0,0.0,0.0,0.0,40.0,0.0,12.5,0.0,0.0,0.0,0.0,5.0,7.5,0.0,[]
15,,Wed Oct 11 12:51:03 EDT 2023,SocialDistance.pl,1697043063499,8244,8244,(I)3(R)1(I)5(R)2(I)14,88.0,0.0,0.0,0.0,12.0,0.0,3.125,0.0,0.0,0.0,0.0,0.375,2.75,0.0,[]
16,,Wed Oct 11 12:51:11 EDT 2023,SocialDistance.pl,1697043071846,44530,0,(I)9(R)5(I)2(F)1(I)1(F)1(I)6,72.0,0.0,0.0,8.0,20.0,0.0,0.5681818181818182,0.0,0.0,0.045454545454545456,0.0,0.11363636363636363,0.4090909090909091,0.0,[]
17,,Wed Oct 11 12:51:56 EDT 2023,SocialDistance.pl,1697043116376,2885,2885,(I)7(R)5(I)13,80.0,0.0,0.0,0.0,20.0,0.0,12.5,0.0,0.0,0.0,0.0,2.5,10.0,0.0,[]
18,,Wed Oct 11 12:51:59 EDT 2023,SocialDistance.pl,1697043119370,35161,0,(I)12(F)7(I)1(F)5,52.0,0.0,0.0,48.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.34285714285714286,0.0,0.0,0.37142857142857144,0.0,[]
19,,Wed Oct 11 12:52:39 EDT 2023,SocialDistance.pl,1697043159072,63219,0,(I)2(F)1(I)2(R)1(F)1(I)2(R)2(I)2(R)2(I)4(R)1(I)3(R)2,60.0,0.0,0.0,8.0,32.0,0.0,0.3968253968253968,0.0,0.0,0.031746031746031744,0.0,0.12698412698412698,0.23809523809523808,0.0,[]
20,,Wed Oct 11 12:53:42 EDT 2023,SocialDistance.pl,1697043222291,37359,0,(R)1(I)18,94.73684210526315,0.0,0.0,0.0,5.263157894736842,0.0,0.5135135135135135,0.0,0.0,0.0,0.0,0.02702702702702703,0.4864864864864865,0.0,[]
21,,Wed Oct 11 12:54:19 EDT 2023,SocialDistance.pl,1697043259847,8349,8349,(I)24,100.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,[]
22,,Wed Oct 11 12:54:28 EDT 2023,SocialDistance.pl,1697043268249,3149,3149,(I)8(R)10(I)7,60.0,0.0,0.0,0.0,40.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,3.3333333333333335,5.0,0.0,[]
23,,Wed Oct 11 12:54:31 EDT 2023,SocialDistance.pl,1697043271398,4493,4493,(I)5(R)2(I)6(R)2(I)4(R)4(I)2,68.0,0.0,0.0,0.0,32.0,0.0,6.25,0.0,0.0,0.0,0.0,2.0,4.25,0.0,[]
24,,Wed Oct 11 12:54:35 EDT 2023,SocialDistance.pl,1697043275964,7854,7854,(I)11(R)2(I)12,92.0,0.0,0.0,0.0,8.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.2857142857142857,3.2857142857142856,0.0,[]
25,,Wed Oct 11 12:54:43 EDT 2023,SocialDistance.pl,1697043283819,-15951,-15951,(I)18(R)1(I)2,95.23809523809523,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
26,,Wed Oct 11 12:54:28 EDT 2023,SocialDistance.pl,1697043268015,26354,0,(I)1(R)1(I)1(R)1(I)1(R)1(I)1(R)1(I)2(R)1(I)6(R)3(I)5,68.0,0.0,0.0,0.0,32.0,0.0,0.9615384615384616,0.0,0.0,0.0,0.0,0.3076923076923077,0.6538461538461539,0.0,[]
27,,Wed Oct 11 12:54:54 EDT 2023,SocialDistance.pl,1697043294369,6072,6072,(I)3(R)4(I)6(R)4(I)8,68.0,0.0,0.0,0.0,32.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,1.3333333333333333,2.8333333333333335,0.0,[]
28,,Wed Oct 11 12:55:00 EDT 2023,SocialDistance.pl,1697043300782,150,150,(I)19(R)1(I)1(R)1(I)3,92.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
29,,Wed Oct 11 12:55:02 EDT 2023,SocialDistance.pl,1697043302972,5750,5750,(I)25,100.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,[]
30,,Wed Oct 11 12:55:08 EDT 2023,SocialDistance.pl,1697043308722,7517,7517,(I)18(R)2(I)4,91.66666666666666,0.0,0.0,0.0,8.333333333333332,0.0,3.4285714285714284,0.0,0.0,0.0,0.0,0.2857142857142857,3.142857142857143,0.0,[]
31,,Wed Oct 11 12:55:16 EDT 2023,SocialDistance.pl,1697043316616,7684,7684,(I)5(R)2(I)4(R)2(I)4(R)2(I)6,76.0,0.0,0.0,0.0,24.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.8571428571428571,2.7142857142857144,0.0,[]
32,,Wed Oct 11 12:55:24 EDT 2023,SocialDistance.pl,1697043324301,8974,8974,(I)4(R)2(I)19,92.0,0.0,0.0,0.0,8.0,0.0,3.125,0.0,0.0,0.0,0.0,0.25,2.875,0.0,[]
33,,Wed Oct 11 12:55:33 EDT 2023,SocialDistance.pl,1697043333275,-16355,-16355,(I)11(R)2(I)4(R)2(I)2(R)1(I)1(R)1(I)1,76.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
